Weather,Temperature,Humidity,Play Football?
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Warm,Normal,Yes
Cloudy,Cool,High,No
Rainy,Hot,Normal,Yes
Sunny,Warm,High,Yes
Cloudy,Hot,High,No
Rainy,Mild,Normal,Yes
Sunny,Cool,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Warm,High,Yes
Sunny,Cool,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Warm,High,Yes
Sunny,Cool,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Warm,High,Yes
Sunny,Cool,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Warm,High,Yes
Sunny,Cool,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,High,No
Cloudy,Warm,High,Yes
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Warm,High,Yes
Sunny,Cool,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Warm,High,Yes
Sunny,Cool,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,High,No
Cloudy,Warm,High,Yes
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Warm,High,Yes
Sunny,Cool,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Warm,High,Yes
Sunny,Cool,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,High,No
Cloudy,Warm,High,Yes
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Warm,High,Yes
Sunny,Cool,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Rainy,Cool,Normal,Yes
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Rainy,Cool,Normal,Yes
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Rainy,Cool,Normal,Yes
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Rainy,Cool,Normal,Yes
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Rainy,Cool,Normal,Yes
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Rainy,Cool,Normal,Yes
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Rainy,Cool,Normal,Yes
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,High,No
Sunny,Warm,Normal,Yes
Cloudy,Hot,High,No
Rainy,Warm,High,Yes
Sunny,Cool,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No
Sunny,Hot,Normal,Yes
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Mild,Normal,Yes
Cloudy,Cool,High,No
Rainy,Warm,High,Yes
Sunny,Hot,High,No
Cloudy,Warm,Normal,Yes
Rainy,Cool,Normal,Yes
Sunny,Hot,Normal,Yes
Cloudy,Warm,High,Yes
Rainy,Cool,High,No